                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5114,                 4.1896,                 1.2842,                0.02261,                    0.5,                0.13301,                0.08247,                0.99954,                 4.8615,                 1.0477,              0.0001428,              0.0001428,              0.0001428
                      2,                  1.404,                 2.6788,                 1.1342,                0.03879,                      1,                0.80871,                0.53426,                 1.0972,                 4.0497,                 1.0469,             0.00028984,             0.00028984,             0.00028984
                      3,                 1.3491,                  2.179,                 1.1165,                      1,                0.42226,                0.89096,                0.67317,                0.93035,                  3.388,                 1.0102,             0.00043391,             0.00043391,             0.00043391
                      4,                 1.3137,                 1.8239,                 1.0957,                 0.6721,                0.61111,                0.73675,                0.47917,                 1.1309,                 3.1732,                 1.1394,             0.00057502,             0.00057502,             0.00057502
                      5,                 1.3369,                 1.7412,                 1.1074,                0.87597,                0.66667,                0.81439,                0.59724,                0.89552,                 2.8657,                 1.0498,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.3023,                 1.6503,                 1.0939,                0.89395,                0.72222,                0.79391,                0.58896,                0.96104,                 3.4773,                 1.0842,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.2455,                 1.5632,                 1.0821,                0.75584,                0.77778,                0.78698,                0.56014,                 1.0632,                  2.527,                 1.0688,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.2293,                 1.5042,                 1.0588,                0.87288,                0.76365,                0.88486,                0.64309,                0.99929,                 2.1504,                 1.0775,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.2064,                 1.4974,                 1.0662,                0.93688,                0.82505,                0.91506,                0.63554,                 1.0396,                 2.0776,                 1.0865,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.2209,                 1.4378,                  1.069,                0.93311,                0.77523,                0.87997,                0.65003,                0.96151,                 2.1462,                 1.0709,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.1731,                 1.3537,                 1.0456,                0.99049,                0.77778,                0.93747,                0.74101,                0.85488,                 1.7851,                 1.0071,             0.00064331,             0.00064331,             0.00064331
                     12,                  1.167,                 1.3655,                 1.0392,                0.92845,                0.88889,                0.94806,                0.68277,                0.87577,                 1.6931,                 1.0395,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.2126,                 1.3453,                   1.05,                0.88165,                0.82802,                 0.9176,                0.69368,                0.90736,                 1.8262,                 1.0129,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.2073,                 1.3232,                 1.0387,                0.91362,                0.88889,                0.95453,                0.70853,                0.92351,                  1.502,                 1.0091,             0.00062211,             0.00062211,             0.00062211
                     15,                 1.1992,                 1.2896,                 1.0468,                      1,                0.83169,                0.96304,                 0.6741,                 1.0286,                 1.4714,                 1.0753,             0.00061504,             0.00061504,             0.00061504
